project_id,cluster_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,node_count,created_at
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-gl-ucube-cluster,n1-standard-1,e2-medium,europe-central2,70.05636864,99.31896,29.26259136,"The e2-medium machine type is recommended as it offers a lower hourly rate and monthly cost compared to the n1-standard-1, while still meeting the predicted memory and CPU requirements. The predicted memory peak of 3.04 GB is well within the 4.0 GB of the e2-medium, and the predicted CPU peak of 0.067 vCPUs is also comfortably within the 2.0 vCPUs of the e2-medium. The sustained use discount has been applied to the target cost, resulting in significant monthly savings.",0.05747625,0.04054188,3.0,2026-01-04 04:57:59.095591 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-loyalty-cluster,n1-standard-1,e2-medium,europe-central2,46.704245760000006,66.21264000000001,19.50839424,"The e2-medium machine type is selected as it provides sufficient memory (4.0 GB) and CPU (2.0 vCPUs) to meet the predicted ML resource peaks (3.45 GB memory, 0.99 vCPU) while offering a lower monthly cost compared to the current n1-standard-1.",0.05747625,0.04054188,2.0,2026-01-04 04:50:35.575266 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-ucube-cluster-perf,n1-standard-1,e2-medium,europe-west3,74.59392384000002,105.74928,31.15535616,"The e2-medium machine type is selected as it offers a lower monthly cost (74.59 USD) compared to the current n1-standard-1 (105.75 USD), resulting in monthly savings of 31.16 USD. Although the predicted CPU (0.07 vCPU) and memory (3.26 GB) are lower than the current machine's capacity (1 vCPU, 3.75 GB), the e2-medium provides sufficient resources (2 vCPUs, 4.0 GB) to accommodate the ML predictions while being more cost-effective.",0.0611975,0.04316778,3.0,2026-01-04 04:57:43.289936 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-perf-cluster,e2-standard-2,c4a-highmem-1,europe-west3,200.30688,248.64641280000006,48.33953280000006,"The target machine type c4a-highmem-1 is chosen because it offers sufficient memory (8.0 GB) and CPU (1.0 vCPU) to accommodate the predicted peak memory of 4.61 GB and CPU of 0.23 vCPUs, while also providing cost savings compared to the current e2-standard-2 machine type. The sustained use discount has been applied to the target cost.",0.08633556,0.069551,5.0,2026-01-04 04:57:15.066990 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-ucube-cluster,e2-standard-2,c4a-highmem-1,europe-west3,120.18412800000002,149.18784768000003,29.00371968000001,"The target machine type c4a-highmem-1 has 8.0 GB of memory and 1.0 vCPU, which is sufficient for the predicted peak memory of 4.83 GB and peak CPU of 0.27 vCPUs. It also offers a lower monthly cost compared to the current e2-standard-2 machine type, resulting in savings.",0.08633556,0.069551,3.0,2026-01-04 04:43:39.212505 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-pk-isr-cluster,e2-highmem-2,c4a-highmem-1,europe-west3,320.491008,536.6648217600001,216.1738137600001,"The target machine type c4a-highmem-1 fits the ML prediction of 0.34 vCPUs and 5.22 GB memory, offering a more cost-effective solution than the current e2-highmem-2 machine type, with significant monthly savings.",0.11646372,0.069551,8.0,2026-01-04 04:43:24.825522 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-loyalty-pk-cluster,e2-highmem-2,c4a-highmem-1,europe-west3,120.18412800000002,201.24930816000006,81.06518016,The target machine type c4a-highmem-1 with 8.0 GB memory and 1.0 vCPU is a cost-effective choice as it closely matches the predicted memory peak of 7.99 GB and predicted CPU peak of 0.53 vCPUs. It offers significant cost savings compared to the current e2-highmem-2 machine type while meeting the resource requirements.,0.11646372,0.069551,3.0,2026-01-04 04:57:00.359681 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-id-isr-cluster,e2-standard-2,e2-standard-2,europe-central2,186.81698304000003,186.81698304000003,0.0,"The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs meets the predicted ML resource needs of 7.65 GB memory and 1.74 vCPUs. Since the target machine is the same as the current machine and the calculated savings are not positive, we retain the current configuration to avoid increased costs.",0.08108376,0.08108376,4.0,2026-01-04 04:49:21.758479 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-gl-ucube-cluster,e2-standard-2,e2-standard-2,europe-central2,93.41,93.41,0.00,"The predicted memory (5.32 GB) and CPU (0.14 vCPUs) are well within the capacity of the current e2-standard-2 machine (8.0 GB memory, 2.0 vCPUs). Since the target machine is the same as the current machine and no cost savings are identified, maintaining the current configuration is the most cost-effective approach.",0.08108376,0.08108376,2.0,2026-01-04 04:49:06.581757 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-bd-isr-cluster,e2-standard-2,e2-standard-2,europe-central2,140.11273728,140.11273728,0.0,"The predicted memory (5.72 GB) and CPU (0.34 vCPU) are well within the current machine's capacity (8.0 GB memory, 2.0 vCPU). Since the target machine type is the same as the current one and the predicted usage is low, no cost savings are achievable by changing the machine type. Therefore, maintaining the current configuration is the most cost-effective approach.",0.08108376,0.08108376,3.0,2026-01-04 04:48:52.174322 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-pk-loyalty-cluster,e2-standard-2,e2-standard-2,europe-central2,140.11273728,140.11273728,0.0,"The predicted memory (7.71 GB) and CPU (0.23 vCPUs) are well within the current machine's capacity (8.0 GB memory, 2.0 vCPUs). Since the target machine is the same as the current machine and the predicted usage is low, no cost savings are achievable by changing the machine type. Therefore, maintaining the current configuration is the most cost-effective approach.",0.08108376,0.08108376,3.0,2026-01-04 04:50:05.508291 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-isr-pk-cluster,e2-highmem-2,e2-standard-2,europe-central2,186.82,252.02,65.20,"The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs is a cost-effective choice as it meets the predicted memory peak of 7.45 GB and predicted CPU peak of 0.96 vCPUs, while offering significant monthly savings compared to the current e2-highmem-2 machine type.",0.10938312,0.08108376,4.0,2026-01-04 04:49:50.657110 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-isr-cluster,e2-highmem-2,e2-standard-2,europe-central2,373.63396608000005,504.03741696,130.40345088,The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs is sufficient for the predicted peak memory of 4.55 GB and peak CPU of 0.31 vCPUs. The e2-standard-2 offers a lower hourly rate and results in significant monthly savings while meeting the resource requirements.,0.10938312,0.08108376,8.0,2026-01-04 04:59:27.376806 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-isr-cluster,e2-highmem-2,e2-standard-2,europe-central2,280.23,378.03,97.80,The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs is sufficient for the predicted ML resource needs of 5.25 GB memory and 0.23 vCPUs. It offers a significant cost saving compared to the current e2-highmem-2 machine type.,0.10938312,0.08108376,6.0,2026-01-04 04:50:19.395592 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-pk-cluster,e2-highmem-2,e2-standard-2,europe-central2,186.82,252.02,65.20,The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs is sufficient for the predicted peak memory of 5.75 GB and peak CPU of 0.15 vCPUs. It offers a significant cost saving compared to the current e2-highmem-2 machine type.,0.10938312,0.08108376,4.0,2026-01-04 04:58:58.915809 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-bd-cluster,e2-highmem-2,e2-standard-2,europe-central2,186.82,252.02,65.20,"The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs is a cost-effective choice as it meets the predicted memory peak of 7.64 GB and CPU peak of 0.75 vCPUs, while offering significant monthly savings compared to the current e2-highmem-2 machine type.",0.10938312,0.08108376,4.0,2026-01-04 04:58:13.833552 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-id-loyalty-cluster,e2-highmem-2,e2-highmem-2,europe-central2,378.02806272,378.02806272,0.0,"The current machine type 'e2-highmem-2' already meets the predicted memory (16.0 GB vs 14.64 GB) and CPU (2.0 vCPUs vs 0.24 vCPUs) requirements. Since the target machine is the same as the current machine, no cost savings are realized, and no change is recommended.",0.10938312,0.10938312,6.0,2026-01-04 04:49:36.446480 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-loyalty-id-cluster,e2-highmem-2,e2-highmem-2,europe-central2,315.0233856,315.0233856,0.0,"The predicted memory (15.06 GB) and CPU (0.53 vCPU) are well within the capacity of the current machine type (16 GB memory, 2 vCPUs). Since the target machine type is the same as the current one and the predicted usage is lower than the current capacity, no cost savings are achievable by changing the machine type. Therefore, maintaining the current machine type is the most cost-effective approach.",0.10938312,0.10938312,5.0,2026-01-04 04:59:13.025549 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-id-cluster,e2-highmem-2,e2-highmem-2,europe-central2,252.01870848,252.01870848,0.0,"The predicted memory (13.86 GB) and CPU (1.24 vCPUs) are within the bounds of the current machine type (16 GB memory, 2 vCPUs). Since the current machine type already meets the predicted needs and no more cost-effective option was found within the same region, the target machine remains the same as the current machine to maintain stability and avoid unnecessary costs.",0.10938312,0.10938312,4.0,2026-01-04 04:58:28.042999 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-loyalty-cluster,e2-highmem-2,e2-highmem-2,europe-central2,189.01403136,189.01403136,0.0,"The predicted memory (14.43 GB) and CPU (0.17 vCPU) are well within the current machine type's capacity (16.0 GB, 2.0 vCPUs). Since the target machine type is the same as the current one and the predicted usage is lower than the current capacity, no cost savings are achievable by changing the machine type. Therefore, maintaining the current machine type is the most cost-effective approach.",0.10938312,0.10938312,3.0,2026-01-04 04:59:41.227816 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-perf-pk-cluster,e2-highmem-2,e2-highmem-2,europe-central2,441.03273984,441.03273984,0.0,"The predicted memory (8.28 GB) and CPU (1.23 vCPUs) are well within the capacity of the current machine type (16 GB memory, 2 vCPUs). Since the target machine type is the same as the current one and no cost savings are identified, maintaining the current configuration is the most cost-effective approach.",0.10938312,0.10938312,7.0,2026-01-04 04:58:44.157685 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-id-loyalty-cluster,e2-highmem-2,e2-highmem-2,europe-west3,469.5817190400001,469.5817190400001,0.0,"The predicted memory (13.67 GB) and CPU (1.33 vCPUs) are within the capabilities of the current machine type (16.0 GB memory, 2.0 vCPUs). Since the target machine type is the same as the current one and no cost savings are identified, the current configuration is maintained.",0.11646372,0.11646372,7.0,2026-01-04 04:42:42.989445 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-loyalty-perf-cluster,e2-highmem-2,e2-highmem-2,europe-west3,201.24930816000006,201.24930816000006,0.0,"The current machine type 'e2-highmem-2' with 16.0 GB memory and 2.0 vCPUs is sufficient for the predicted peak memory of 14.91 GB and peak CPU of 0.48 vCPUs. No cost savings can be achieved by changing the machine type, so the current configuration is maintained.",0.11646372,0.11646372,3.0,2026-01-04 04:57:28.925698 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-isr-bd-cluster,e2-highmem-2,e2-highmem-2,europe-west3,201.24930816000006,201.24930816000006,0.0,"The predicted memory (15.73 GB) and CPU (0.65 vCPUs) are well within the capacity of the current machine type (16.0 GB memory, 2.0 vCPUs). Since the target machine type is the same as the current one and the predicted usage is not significantly lower, no cost savings are realized by changing the machine type. Therefore, we retain the current machine type.",0.11646372,0.11646372,3.0,2026-01-04 04:42:56.931870 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-isr-vn-th-ph-cluster,e2-highmem-2,e2-highmem-2,europe-west3,872.0803353600003,872.0803353600003,0.0,"The predicted memory (8.78 GB) and CPU (1.19 vCPUs) are well within the limits of the current machine type (16 GB memory, 2 vCPUs). Since the target machine type is the same as the current one and no cost savings are identified, no change is recommended.",0.11646372,0.11646372,13.0,2026-01-04 04:56:45.606049 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-loyalty-cluster,e2-standard-4,e2-highmem-2,europe-west3,402.4986163200001,596.7513907200001,194.25277440000006,"The target machine type e2-highmem-2 has 16.0 GB memory and 2.0 vCPUs, which is sufficient for the predicted memory peak of 11.93 GB and predicted CPU peak of 0.45 vCPUs. The target machine offers a significant cost saving of 194.25 USD per month.",0.17267112,0.11646372,6.0,2026-01-04 04:43:10.838877 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-vn-th-ph-isr-cluster,e2-highmem-4,e2-highmem-2,europe-west3,939.1634380800002,1878.3268761600004,939.16343808,The target machine type e2-highmem-2 with 16.0 GB memory and 2.0 vCPUs is a cost-effective choice as it closely matches the predicted memory peak of 15.78 GB and predicted CPU peak of 0.83 vCPUs. The target machine provides sufficient resources while offering significant cost savings compared to the current e2-highmem-4.,0.23292744,0.11646372,14.0,2026-01-04 04:43:54.029841 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-id-isr-cluster,e2-highmem-4,e2-highmem-4,europe-west3,1609.9944652800004,1609.9944652800004,0.0,"The predicted memory (17.34 GB) and CPU (1.54 vCPUs) are well within the capacity of the current e2-highmem-4 machine type (32 GB memory, 4 vCPUs). Since the target machine type is the same as the current one and the predicted resource usage does not warrant a change, no cost savings are realized by changing the machine type. Therefore, the current machine type is maintained.",0.23292744,0.23292744,12.0,2026-01-04 04:42:27.584390 UTC