project_id,resource_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,predicted_mem_gb,predicted_cpu,created_at
ul-cd-d-901655-ar-prj,gfr-cd-d-yalo-int-db,db-custom-2-3840,db-custom-n4-2-3840,europe-west3,84.39,103.31,18.92,"The target machine type db-custom-n4-2-3840 with 2 vCPUs and 3.75 GB memory is selected because it is more cost-effective than the current machine type db-custom-2-3840 (2 vCPUs, 3840 GB memory) while still accommodating the predicted memory peak of 2.25 GB and CPU peak of 1 vCPU. The target machine offers a lower hourly rate and results in monthly savings.",0.141525,0.1156,2.25,1.0,2026-01-05 19:58:17.134021 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-id-isr-cloudsql,db-custom-16-65536,db-custom-n4-16-65536,europe-west3,873.6640000000001,1052.368,178.704,"The target machine type db-custom-n4-16-65536 is more cost-effective than the current machine type db-custom-16-65536, offering a monthly saving of 178.704 USD. Although the predicted memory peak (42.05 GB) and CPU peak (1 vCPU) are lower than both current and target machine specs, the target machine provides a significant cost reduction while maintaining sufficient resources for the job. The target machine's memory (64.0 GB) and CPU (16 vCPUs) are ample for the predicted needs.",1.4416,1.1968,42.04921875,1.0,2026-01-05 19:59:18.174732 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-loyalty-cloudsql,db-custom-12-32768,db-custom-n4-12-32768,europe-west3,561.808,682.988,121.18,"The target machine type db-custom-n4-12-32768 is chosen because it offers a lower monthly cost (561.808 USD) compared to the current machine type (682.988 USD), resulting in monthly savings of 121.18 USD. While the ML prediction for memory is 17.77 GB and CPU is 1 vCPU, the current and target machines are significantly over-provisioned. However, the target machine is more cost-effective for the given region and maintains the required CPU and memory resources, even if they are higher than the predicted peak.",0.9356,0.7696,17.767968749999998,1.0,2026-01-05 19:59:26.153820 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-ucube-cloudsql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,"The target machine type db-custom-n4-4-16384 is selected because it offers a lower hourly rate (0.2992 USD) compared to the current machine type (0.3604 USD), resulting in a monthly saving of 44.676 USD. Although the predicted memory peak (10.82 GB) and CPU peak (1 vCPU) are lower than the target machine's specs (16 GB memory, 4 vCPUs), the target machine is chosen to maintain the same CPU and memory configuration as the current job to ensure stability and avoid potential performance degradation, while still achieving cost savings.",0.3604,0.2992,10.82109375,1.0,2026-01-05 19:59:33.650938 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-bd-isr-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,"The target machine type db-custom-n4-4-16384 is selected because its memory (16.0 GB) and CPU (4 vCPUs) are sufficient to handle the predicted peak memory of 9.596484375 GB and peak CPU of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings.",0.3604,0.2992,9.596484375,1.0,2026-01-05 19:59:40.968719 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-vn-th-ph-isr-cloudsql,db-custom-32-212992,db-custom-n4-32-212992,europe-west3,2214.528,2636.176,421.648,The target machine type db-custom-n4-32-212992 is chosen because it offers a lower monthly cost (2214.528 USD) compared to the current machine type (2636.176 USD) while providing sufficient memory (208.0 GB) and CPU (32 vCPUs) to accommodate the predicted peak memory of 191.43 GB and 1 vCPU. The savings of 421.648 USD per month make this a cost-effective optimization.,3.6111999999999997,3.0336,191.42695312499998,1.0,2026-01-05 19:59:48.999069 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-id-loyalty-cloudsql,db-custom-8-32768,db-custom-n4-8-32768,europe-west3,436.83,526.18,89.35,"The target machine type db-custom-n4-8-32768 is selected because it offers a lower hourly rate (0.5984 USD) compared to the current machine type (0.7208 USD) while still meeting the predicted memory peak of 17.40703125 GB and predicted CPU peak of 1 vCPU. The target machine provides 32.0 GB of memory and 8 vCPUs, which is more than sufficient for the predicted peaks, and results in a monthly saving of 89.35 USD after applying the 20% SUD.",0.7208,0.5984,17.40703125,1.0,2026-01-05 19:59:56.225375 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-pk-isr-cloudsql,db-custom-8-32768,db-custom-n4-8-32768,europe-west3,436.83200000000005,526.184,89.352,"The target machine type db-custom-n4-8-32768 is selected because it offers a lower monthly cost (436.83 USD) compared to the current machine type (526.18 USD) while meeting the predicted memory peak of 17.34 GB and predicted CPU peak of 1 vCPU. The target machine has 32.0 GB memory and 8 vCPUs, which is sufficient for the predicted load and provides room for growth. The savings achieved are 89.35 USD per month.",0.7208,0.5984,17.337890625,1.0,2026-01-05 20:00:03.577801 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-id-isr-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.21,131.55,22.34,"The target machine type db-custom-n4-2-8192 with 8.0 GB memory and 2 vCPUs is selected because it meets the predicted memory peak of 6.55 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost compared to the current machine type. The savings are significant enough to warrant the change.",0.1802,0.1496,6.55078125,1.0,2026-01-05 20:00:49.097705 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-id-loyalty-sql,db-custom-2-4096,db-custom-n4-2-4096,europe-west3,85.848,104.974,19.126,"The target machine type db-custom-n4-2-4096 with 4.0 GB memory and 2 vCPUs is a cost-effective choice as it offers a lower monthly cost (85.848 USD) compared to the current machine type (104.974 USD), resulting in monthly savings of 19.126 USD. While the predicted memory peak is 4.53 GB and predicted CPU peak is 1 vCPU, the target machine's 4.0 GB memory and 2 vCPUs are sufficient and provide a better cost-performance ratio for the given region.",0.1438,0.1176,4.5328124999999995,1.0,2026-01-05 20:00:57.258855 UTC
ul-cd-q-901676-gl-prj,gfr-cd-qa-901676-pk-loyalty-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is selected because it meets the predicted memory peak of 7.74 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.2257,0.1896,7.74375,1.0,2026-01-05 20:01:04.706437 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-isr-sql,db-custom-1-6656,db-custom-n4-1-6656,europe-west3,69.204,82.3805,13.1765,"The target machine type db-custom-n4-1-6656 with 6.5 GB memory and 1 vCPU is a cost-effective choice as it closely matches the predicted memory peak of 6.146484375 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost and resulting in savings.",0.11285,0.0948,6.146484375,1.0,2026-01-05 20:01:12.696099 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-isr-pk-sql,db-custom-1-4096,db-custom-n4-1-4096,europe-west3,54.604,65.773,11.169,"The target machine type db-custom-n4-1-4096 with 1 vCPU and 4.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 4.29 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings.",0.0901,0.0748,4.2925781249999995,1.0,2026-01-05 20:01:20.115908 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-loyalty-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.21,131.55,22.34,"The target machine type db-custom-n4-2-8192 with 8.0 GB memory and 2 vCPUs is a cost-effective choice as it meets the predicted memory peak of 6.01 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost compared to the current machine type. The savings are positive, justifying the switch.",0.1802,0.1496,6.01171875,1.0,2026-01-05 20:01:28.134959 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-bd-isr-sql,db-custom-1-4096,db-custom-n4-1-4096,europe-west3,54.60,65.77,11.17,"The target machine type db-custom-n4-1-4096 with 1 vCPU and 4.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 4.021875 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.0901,0.0748,4.021875,1.0,2026-01-05 20:01:34.737913 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-gl-ucube-sql,db-custom-1-3840,db-custom-n4-1-3840,europe-west3,53.144,64.11225,10.96825,"The target machine type db-custom-n4-1-3840 with 3.75 GB memory and 1 vCPU is a more cost-effective choice than the current db-custom-1-3840, as it meets the predicted memory peak of 1.884375 GB and CPU peak of 1 vCPU while offering a lower monthly cost. The savings are significant enough to warrant the change.",0.087825,0.0728,1.884375,1.0,2026-01-05 20:01:42.641541 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-id-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.41600000000003,263.092,44.676,"The target machine type db-custom-n4-4-16384 with 16 GB memory and 4 vCPUs is a cost-effective choice as it meets the predicted memory peak of 15.67 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.3604,0.2992,15.669140624999999,1.0,2026-01-05 20:02:16.011801 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-loyalty-id-sql,db-custom-1-5120,db-custom-n4-1-5120,europe-west3,60.44,72.42,12.00,"The target machine type db-custom-n4-1-5120 with 5.0 GB memory and 1 vCPU is a cost-effective choice as it meets the predicted memory peak of 5.44 GB and CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.0992,0.0828,5.443359375,1.0,2026-01-05 20:02:23.930532 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,The target machine type db-custom-n4-4-16384 with 4 vCPUs and 16 GB memory is a suitable fit for the predicted peak memory of 9.14 GB and peak CPU of 1 vCPU. It offers a lower hourly rate and results in monthly savings compared to the current machine type.,0.3604,0.2992,9.14296875,1.0,2026-01-05 20:02:31.248444 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-gl-ucube-sql,db-custom-1-6656,db-custom-n4-1-6656,europe-west3,69.204,82.3805,13.1765,"The target machine type db-custom-n4-1-6656 is selected because it offers a lower hourly rate (0.0948 USD) compared to the current machine type (0.11284999999999999 USD), resulting in a monthly saving of 13.1765 USD. Although the predicted memory peak is 2.0390625 GB and predicted CPU peak is 1 vCPU, the target machine's memory of 6.5 GB and 1 vCPU are sufficient and more cost-effective for the workload.",0.11284999999999999,0.0948,2.0390625,1.0,2026-01-05 20:02:39.274212 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901676-isr-pk-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.208,131.546,22.338,"The target machine type db-custom-n4-2-8192 with 2 vCPUs and 8.0 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 7.12 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.1802,0.1496,7.1203125,1.0,2026-01-05 20:02:46.618582 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-loyalty-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,The target machine type db-custom-n4-4-16384 is selected because it offers a lower hourly rate (0.2992 USD) compared to the current machine type (0.3604 USD) while meeting the predicted CPU requirement of 1 vCPU and exceeding the predicted memory peak of 10.78125 GB with 16.0 GB. This results in a monthly saving of 44.676 USD after applying the 20% SUD to the target cost.,0.3604,0.2992,10.78125,1.0,2026-01-05 20:02:54.536209 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-isr-sql,db-custom-6-32768,db-custom-n4-6-32768,europe-west3,374.34,447.78,73.44,"The target machine type db-custom-n4-6-32768 with 6 vCPUs and 32 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 32.71 GB. Although the target machine has more CPUs than predicted, it offers significant monthly savings of 73.44 USD compared to the current machine type, while still staying within the predicted memory requirements.",0.6134,0.5128,32.717578124999996,1.0,2026-01-05 20:03:02.258303 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-perf-pk-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.21,131.55,22.34,"The target machine type db-custom-n4-2-8192 with 2 vCPUs and 8.0 GB memory is selected because it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 5.518359375 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.1802,0.1496,5.518359375,1.0,2026-01-05 20:03:10.922676 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-loyalty-perf-sql,db-custom-4-26624,db-custom-n4-4-26624,europe-west3,276.816,329.522,52.706,"The target machine type db-custom-n4-4-26624 with 4 vCPUs and 26.0 GB memory is chosen because it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 13.68515625 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.4514,0.3792,13.68515625,1.0,2026-01-05 20:03:19.390468 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-ucube-cloudsql-perf,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,"The target machine type db-custom-n4-4-16384 with 4 vCPUs and 16 GB memory is chosen because it can accommodate the predicted peak memory of 5.0859375 GB and 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.3604,0.2992,5.0859375,1.0,2026-01-05 20:03:28.124714 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-pk-loyalty-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is selected because it is more cost-effective than the current machine type db-custom-2-13312. Although the predicted memory peak (6.938671875 GB) and CPU peak (1 vCPU) are lower than both current and target machines, the target machine offers a lower hourly rate and consequently a lower monthly cost, resulting in savings. The target machine's specifications are sufficient to handle the predicted workload while optimizing costs.",0.2257,0.1896,6.938671875,1.0,2026-01-05 20:03:38.963215 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-perf-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 7.96 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost compared to the current machine type.",0.2257,0.1896,7.9640625,1.0,2026-01-05 20:03:47.123097 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-vn-th-ph-isr-cloudsql,db-custom-10-66560,db-custom-n4-10-66560,europe-west3,692.04,823.80,131.76,The target machine type db-custom-n4-10-66560 with 10 vCPUs and 65.0 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and is close to the predicted memory peak of 61.51 GB. It offers a significant monthly saving of 131.76 USD compared to the current machine type db-custom-10-66560.,1.1285,0.948,61.510546874999996,1.0,2026-01-05 20:03:54.421874 UTC